Type,MatrixRows,ClockTime
0,70,4079
0,140,17215
0,210,63240
0,280,144340
0,350,305142
0,420,614711
0,490,1195948
0,560,1535580
0,630,2918099
0,700,3560576
1,70,2729
1,140,17989
1,210,69497
1,280,160026
1,350,324850
1,420,588346
1,490,1157552
1,560,1746726
1,630,3103639
1,700,3806602
2,70,1249
2,140,9991
2,210,33749
2,280,81702
2,350,156507
2,420,274518
2,490,444566
2,560,666857
2,630,949501
2,700,1275413
0,70,2026
0,140,16338
0,210,64274
0,280,153013
0,350,308772
0,420,656980
0,490,1214914
0,560,1539829
0,630,2834967
0,700,3579022
1,70,1974
1,140,16594
1,210,66907
1,280,203127
1,350,356262
1,420,620317
1,490,1090565
1,560,1600703
1,630,2643656
1,700,3543886
2,70,1244
2,140,9992
2,210,33621
2,280,79708
2,350,155990
2,420,269626
2,490,432504
2,560,647625
2,630,924514
2,700,1272104
0,70,1993
0,140,15874
0,210,61757
0,280,144097
0,350,303843
0,420,532856
0,490,938641
0,560,1394653
0,630,2394851
0,700,3236943
1,70,2144
1,140,17979
1,210,71620
1,280,178995
1,350,361506
1,420,637121
1,490,1138351
1,560,1551011
1,630,3111216
1,700,3670793
2,70,1258
2,140,10072
2,210,34286
2,280,82002
2,350,158179
2,420,286984
2,490,442896
2,560,649703
2,630,927604
2,700,1290520
0,70,1990
0,140,18364
0,210,66877
0,280,149322
0,350,345734
0,420,628963
0,490,1052218
0,560,1482470
0,630,2768546
0,700,3537817
1,70,1975
1,140,16404
1,210,64477
1,280,155939
1,350,321949
1,420,599371
1,490,1016851
1,560,1568800
1,630,2931955
1,700,3591382
2,70,1270
2,140,10086
2,210,34227
2,280,79949
2,350,157162
2,420,273468
2,490,433888
2,560,651417
2,630,932780
2,700,1283009
0,70,2037
0,140,16748
0,210,62918
0,280,145087
0,350,306807
0,420,545573
0,490,975186
0,560,1428983
0,630,2635502
0,700,3457734
1,70,2000
1,140,20923
1,210,66524
1,280,157638
1,350,314821
1,420,579988
1,490,1028966
1,560,1534649
1,630,2785702
1,700,3801151
2,70,1255
2,140,10020
2,210,33866
2,280,79980
2,350,156719
2,420,271643
2,490,434578
2,560,697687
2,630,948185
2,700,1311822
0,70,1999
0,140,15978
0,210,65970
0,280,143311
0,350,358457
0,420,661628
0,490,1008134
0,560,1410722
0,630,2515350
0,700,3446247
1,70,1967
1,140,17149
1,210,65023
1,280,158535
1,350,356453
1,420,651084
1,490,1181725
1,560,1593341
1,630,2800239
1,700,3650389
2,70,1244
2,140,10021
2,210,33674
2,280,80101
2,350,157897
2,420,275976
2,490,435934
2,560,649932
2,630,934951
2,700,1281745
0,70,2070
0,140,16473
0,210,65153
0,280,144135
0,350,308701
0,420,560040
0,490,982026
0,560,1428272
0,630,2708165
0,700,3437809
1,70,2022
1,140,16743
1,210,66277
1,280,159902
1,350,327404
1,420,646584
1,490,1034067
1,560,1519588
1,630,2888528
1,700,3841165
2,70,1248
2,140,10526
2,210,35957
2,280,85670
2,350,163188
2,420,270216
2,490,431374
2,560,654874
2,630,935255
2,700,1271378
0,70,2296
0,140,16565
0,210,73231
0,280,149489
0,350,306825
0,420,572738
0,490,993415
0,560,1430268
0,630,2618899
0,700,3706712
1,70,2000
1,140,16732
1,210,63815
1,280,156504
1,350,329867
1,420,617173
1,490,1079267
1,560,1603683
1,630,2793787
1,700,3639858
2,70,1248
2,140,9987
2,210,33666
2,280,79751
2,350,156015
2,420,273851
2,490,432911
2,560,650897
2,630,929353
2,700,1277315
0,70,2038
0,140,16414
0,210,63335
0,280,148662
0,350,340822
0,420,571466
0,490,1073314
0,560,1526307
0,630,2573207
0,700,3228079
1,70,2008
1,140,16461
1,210,64038
1,280,152872
1,350,314472
1,420,573364
1,490,977570
1,560,1504522
1,630,2634577
1,700,3433550
2,70,1243
2,140,10001
2,210,33649
2,280,79689
2,350,158815
2,420,271530
2,490,430264
2,560,647483
2,630,927518
2,700,1270939
0,70,1999
0,140,15878
0,210,62440
0,280,143476
0,350,316320
0,420,527501
0,490,943257
0,560,1388425
0,630,2445421
0,700,3251995
1,70,1983
1,140,16733
1,210,66029
1,280,160585
1,350,329369
1,420,670219
1,490,1110623
1,560,1536503
1,630,2767152
1,700,3605112
2,70,1243
2,140,9993
2,210,33623
2,280,80433
2,350,158402
2,420,270250
2,490,433814
2,560,648515
2,630,928518
2,700,1274187
